Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,Measure Count,Composer
200.625,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,101,1.625,Debussy
201,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,101,2,Debussy
201.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,101,2.125,Debussy
201.5,<music21.chord.Chord B-3 F3 G3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,101,2.5,Debussy
201.625,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,101,2.625,Debussy
202,<music21.chord.Chord B-3 F#2 C#3>,"[0, 4, 7]","[6, 10, 1]",Children's Corner 113 6 Eb Major.mid,102,1,Debussy
202.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,102,1.125,Debussy
202.25,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,102,1.25,Debussy
202.5,<music21.chord.Chord C#3 F#3 G#3>,"[0, 2, 7]","[6, 8, 1]",Children's Corner 113 6 Eb Major.mid,102,1.5,Debussy
202.75,<music21.chord.Chord C4>,[0],[0],Children's Corner 113 6 Eb Major.mid,102,1.75,Debussy
203,<music21.chord.Chord B-3 F#2 C#3>,"[0, 4, 7]","[6, 10, 1]",Children's Corner 113 6 Eb Major.mid,102,2,Debussy
203.5,<music21.chord.Chord C#4 C#3 F#3 A3>,"[0, 3, 7]","[6, 9, 1]",Children's Corner 113 6 Eb Major.mid,102,2.5,Debussy
204,<music21.chord.Chord E-4 F#2 C#3>,"[0, 2, 5]","[1, 3, 6]",Children's Corner 113 6 Eb Major.mid,103,1,Debussy
204.5,<music21.chord.Chord F4 C#3 F#3 B-3>,"[0, 1, 5, 8]","[5, 6, 10, 1]",Children's Corner 113 6 Eb Major.mid,103,1.5,Debussy
205,<music21.chord.Chord E-4 F#2 C#3>,"[0, 2, 5]","[1, 3, 6]",Children's Corner 113 6 Eb Major.mid,103,2,Debussy
205.5,<music21.chord.Chord F#4 C#3 F#3 B3>,"[0, 2, 7]","[11, 1, 6]",Children's Corner 113 6 Eb Major.mid,103,2.5,Debussy
206,<music21.chord.Chord F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,104,1,Debussy
206.25,<music21.chord.Chord F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,104,1.25,Debussy
206.5,<music21.chord.Chord C#4 E4>,"[0, 3]","[1, 4]",Children's Corner 113 6 Eb Major.mid,104,1.5,Debussy
206.75,<music21.chord.Chord G4 C#4 E4>,"[0, 3, 6]","[1, 4, 7]",Children's Corner 113 6 Eb Major.mid,104,1.75,Debussy
207,<music21.chord.Chord F4 C4 E-4>,"[0, 3, 5]","[0, 3, 5]",Children's Corner 113 6 Eb Major.mid,104,2,Debussy
207.5,<music21.chord.Chord G4 D5 F3 A3 E-4>,"[0, 1, 3, 5, 7]","[2, 3, 5, 7, 9]",Children's Corner 113 6 Eb Major.mid,104,2.5,Debussy
208,<music21.chord.Chord D4 B-4 B-2 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Children's Corner 113 6 Eb Major.mid,105,1,Debussy
209,<music21.chord.Chord B-5 B-6 B-1 B-2>,[0],[10],Children's Corner 113 6 Eb Major.mid,105,2,Debussy
210,<music21.chord.Chord C4 E-4 G#3 B-3>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,106,1,Debussy
210.125,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,106,1.125,Debussy
210.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,106,1.25,Debussy
210.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,106,1.5,Debussy
210.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,106,1.625,Debussy
210.75,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]",Children's Corner 113 6 Eb Major.mid,106,1.75,Debussy
211,<music21.chord.Chord D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,106,2,Debussy
211.5,<music21.chord.Chord C4 E-4 G#4 B-4>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,106,2.5,Debussy
212,<music21.chord.Chord D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,107,1,Debussy
212.125,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,107,1.125,Debussy
212.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,107,1.5,Debussy
212.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,107,1.625,Debussy
213,<music21.chord.Chord B-6 B-5 D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,107,2,Debussy
213.125,<music21.chord.Chord D4 F4 B-6 B-5>,"[0, 4, 7]","[10, 2, 5]",Children's Corner 113 6 Eb Major.mid,107,2.125,Debussy
213.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,107,2.5,Debussy
213.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,107,2.625,Debussy
214,<music21.chord.Chord C4 E-4 G3 B-3>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,108,1,Debussy
214.125,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,108,1.125,Debussy
214.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,108,1.25,Debussy
214.5,<music21.chord.Chord D4 F4 G4 B-4>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,108,1.5,Debussy
214.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,108,1.625,Debussy
214.75,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]",Children's Corner 113 6 Eb Major.mid,108,1.75,Debussy
215,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,108,2,Debussy
215.5,<music21.chord.Chord C4 E-4 G4 B-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,108,2.5,Debussy
216,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,109,1,Debussy
216.5,<music21.chord.Chord C4 E-4 G4 B-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,109,1.5,Debussy
216.625,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,109,1.625,Debussy
217,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,109,2,Debussy
217.5,<music21.chord.Chord G4 B-4 C5 E-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,109,2.5,Debussy
218,<music21.chord.Chord A3 C#4 E4 B2>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Children's Corner 113 6 Eb Major.mid,110,1,Debussy
218.25,<music21.chord.Chord A3 C#4 E4 C#3>,"[0, 4, 7]","[9, 1, 4]",Children's Corner 113 6 Eb Major.mid,110,1.25,Debussy
218.75,<music21.chord.Chord A3 C#4 E4 E-3>,"[0, 4, 6, 7]","[9, 1, 3, 4]",Children's Corner 113 6 Eb Major.mid,110,1.75,Debussy
219,<music21.chord.Chord A3 C#4 E4 C#3>,"[0, 4, 7]","[9, 1, 4]",Children's Corner 113 6 Eb Major.mid,110,2,Debussy
219.125,<music21.chord.Chord A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Children's Corner 113 6 Eb Major.mid,110,2.125,Debussy
219.5,<music21.chord.Chord A3 C#4 E4 B2>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Children's Corner 113 6 Eb Major.mid,110,2.5,Debussy
219.625,<music21.chord.Chord A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Children's Corner 113 6 Eb Major.mid,110,2.625,Debussy
220,<music21.chord.Chord G#3 C4 F4 B-2>,"[0, 3, 5, 7]","[5, 8, 10, 0]",Children's Corner 113 6 Eb Major.mid,111,1,Debussy
220.25,<music21.chord.Chord G#3 C4 F4 C3>,"[0, 3, 7]","[5, 8, 0]",Children's Corner 113 6 Eb Major.mid,111,1.25,Debussy
220.75,<music21.chord.Chord G#3 C4 F4 D3>,"[0, 2, 5, 8]","[0, 2, 5, 8]",Children's Corner 113 6 Eb Major.mid,111,1.75,Debussy
221,<music21.chord.Chord G#3 C4 F4 C3>,"[0, 3, 7]","[5, 8, 0]",Children's Corner 113 6 Eb Major.mid,111,2,Debussy
221.125,<music21.chord.Chord G#3 C4 F4>,"[0, 3, 7]","[5, 8, 0]",Children's Corner 113 6 Eb Major.mid,111,2.125,Debussy
221.5,<music21.chord.Chord G#3 C4 F4 B-2>,"[0, 3, 5, 7]","[5, 8, 10, 0]",Children's Corner 113 6 Eb Major.mid,111,2.5,Debussy
221.625,<music21.chord.Chord G#3 C4 F4>,"[0, 3, 7]","[5, 8, 0]",Children's Corner 113 6 Eb Major.mid,111,2.625,Debussy
222,<music21.chord.Chord G3 B-3 F3 B-2>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,112,1,Debussy
222.25,<music21.chord.Chord G3 B-3 F3 C3>,"[0, 2, 5, 7]","[5, 7, 10, 0]",Children's Corner 113 6 Eb Major.mid,112,1.25,Debussy
222.75,<music21.chord.Chord G3 B-3 F3 D3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,112,1.75,Debussy
223,<music21.chord.Chord G3 B-3 F3 C3>,"[0, 2, 5, 7]","[5, 7, 10, 0]",Children's Corner 113 6 Eb Major.mid,112,2,Debussy
223.125,<music21.chord.Chord G3 B-3 F3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,112,2.125,Debussy
223.5,<music21.chord.Chord G3 B-3 F3 B-2>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,112,2.5,Debussy
223.625,<music21.chord.Chord G3 B-3 F3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,112,2.625,Debussy
224,<music21.chord.Chord E-3 G3 B-3>,"[0, 4, 7]","[3, 7, 10]",Children's Corner 113 6 Eb Major.mid,113,1,Debussy
224.25,<music21.chord.Chord G3 B-3 E-3 B-1 B-2>,"[0, 4, 7]","[3, 7, 10]",Children's Corner 113 6 Eb Major.mid,113,1.25,Debussy
224.5,<music21.chord.Chord C3 G3 B-3 E-3 C2>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,113,1.5,Debussy
224.75,<music21.chord.Chord D3 G3 B-3 E-3 D2>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Children's Corner 113 6 Eb Major.mid,113,1.75,Debussy
225,<music21.chord.Chord C3 G3 B-3 E-3 C2>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,113,2,Debussy
225.125,<music21.chord.Chord G3 B-3 E-3>,"[0, 4, 7]","[3, 7, 10]",Children's Corner 113 6 Eb Major.mid,113,2.125,Debussy
225.5,<music21.chord.Chord G3 B-3 E-3 B-0 B-1>,"[0, 4, 7]","[3, 7, 10]",Children's Corner 113 6 Eb Major.mid,113,2.5,Debussy
225.625,<music21.chord.Chord G3 B-3 E-3>,"[0, 4, 7]","[3, 7, 10]",Children's Corner 113 6 Eb Major.mid,113,2.625,Debussy
226,<music21.chord.Chord C4 E-4 G#3 B-3>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,114,1,Debussy
226.125,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,114,1.125,Debussy
226.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,114,1.25,Debussy
226.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,114,1.5,Debussy
226.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,114,1.625,Debussy
226.75,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]",Children's Corner 113 6 Eb Major.mid,114,1.75,Debussy
227,<music21.chord.Chord D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,114,2,Debussy
227.5,<music21.chord.Chord C4 E-4 G#4 B-4>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,114,2.5,Debussy
228,<music21.chord.Chord D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,115,1,Debussy
228.125,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,115,1.125,Debussy
228.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,115,1.5,Debussy
228.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,115,1.625,Debussy
229,<music21.chord.Chord B-6 B-5 D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,115,2,Debussy
229.125,<music21.chord.Chord D4 F4 B-6 B-5>,"[0, 4, 7]","[10, 2, 5]",Children's Corner 113 6 Eb Major.mid,115,2.125,Debussy
229.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,115,2.5,Debussy
229.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,115,2.625,Debussy
230,<music21.chord.Chord C4 E-4 G3 B-3>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,116,1,Debussy
230.125,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,116,1.125,Debussy
230.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,116,1.25,Debussy
230.5,<music21.chord.Chord D4 F4 G4 B-4>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,116,1.5,Debussy
230.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,116,1.625,Debussy
230.75,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]",Children's Corner 113 6 Eb Major.mid,116,1.75,Debussy
231,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,116,2,Debussy
231.5,<music21.chord.Chord C4 E-4 G4 B-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,116,2.5,Debussy
232,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,117,1,Debussy
232.5,<music21.chord.Chord C4 E-4 G4 B-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,117,1.5,Debussy
232.625,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,117,1.625,Debussy
233,<music21.chord.Chord D4 F4 G3 B-3>,"[0, 3, 5, 8]","[2, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,117,2,Debussy
233.5,<music21.chord.Chord G4 B-4 C5 E-4>,"[0, 3, 5, 8]","[7, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,117,2.5,Debussy
234,<music21.chord.Chord B-5 B4 E-5 B-4 B3 E-4>,"[0, 1, 5]","[10, 11, 3]",Children's Corner 113 6 Eb Major.mid,118,1,Debussy
234.25,<music21.chord.Chord G#5 B4 E-5 G#4 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Children's Corner 113 6 Eb Major.mid,118,1.25,Debussy
234.75,<music21.chord.Chord B-5 B4 E-5 B-4 B3 E-4>,"[0, 1, 5]","[10, 11, 3]",Children's Corner 113 6 Eb Major.mid,118,1.75,Debussy
235,<music21.chord.Chord F5 B4 E-5 F4 B3 E-4>,"[0, 4, 6]","[11, 3, 5]",Children's Corner 113 6 Eb Major.mid,118,2,Debussy
235.5,<music21.chord.Chord B-5 B4 E-5 B-4 B3 E-4>,"[0, 1, 5]","[10, 11, 3]",Children's Corner 113 6 Eb Major.mid,118,2.5,Debussy
236,<music21.chord.Chord G#5 B4 E-5 G#4 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Children's Corner 113 6 Eb Major.mid,119,1,Debussy
236.25,<music21.chord.Chord F5 B4 E-5 F4 B3 E-4>,"[0, 4, 6]","[11, 3, 5]",Children's Corner 113 6 Eb Major.mid,119,1.25,Debussy
236.75,<music21.chord.Chord E-5 B4 E-4 B3>,"[0, 4]","[11, 3]",Children's Corner 113 6 Eb Major.mid,119,1.75,Debussy
237,<music21.chord.Chord B4 B3>,[0],[11],Children's Corner 113 6 Eb Major.mid,119,2,Debussy
238.25,<music21.chord.Chord G#4 G#3>,[0],[8],Children's Corner 113 6 Eb Major.mid,120,1.25,Debussy
238.5,<music21.chord.Chord F4 F3>,[0],[5],Children's Corner 113 6 Eb Major.mid,120,1.5,Debussy
238.75,<music21.chord.Chord E-4 E-3>,[0],[3],Children's Corner 113 6 Eb Major.mid,120,1.75,Debussy
239,<music21.chord.Chord B3 B2>,[0],[11],Children's Corner 113 6 Eb Major.mid,120,2,Debussy
239.5,<music21.chord.Chord D3 G3 B-1 B-2>,"[0, 3, 7]","[7, 10, 2]",Children's Corner 113 6 Eb Major.mid,120,2.5,Debussy
240.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,121,1.5,Debussy
241,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,121,2,Debussy
241.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,121,2.5,Debussy
242,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,122,1,Debussy
244.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,123,1.5,Debussy
245,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,123,2,Debussy
245.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,123,2.5,Debussy
246,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,124,1,Debussy
248.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,125,1.5,Debussy
249,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,125,2,Debussy
249.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,125,2.5,Debussy
251,<music21.chord.Chord B2 B1>,[0],[11],Children's Corner 113 6 Eb Major.mid,126,2,Debussy
251.5,<music21.chord.Chord B-2 B-1>,[0],[10],Children's Corner 113 6 Eb Major.mid,126,2.5,Debussy
251.625,<music21.chord.Chord G#2 G#1>,[0],[8],Children's Corner 113 6 Eb Major.mid,126,2.625,Debussy
251.75,<music21.chord.Chord G2 G1>,[0],[7],Children's Corner 113 6 Eb Major.mid,126,2.75,Debussy
251.875,<music21.chord.Chord F2 F1>,[0],[5],Children's Corner 113 6 Eb Major.mid,126,2.875,Debussy
252,<music21.chord.Chord E-3 E-1 E-2>,[0],[3],Children's Corner 113 6 Eb Major.mid,127,1,Debussy
254,<music21.chord.Chord E-3 E-1 E-2>,[0],[3],Children's Corner 113 6 Eb Major.mid,128,1,Debussy
